AdvNum,Parcel,Face Amount,Certificate Number,WinningBid,Bidder ID,Primary Name On Account
005718,301634390,5542.95,0,016.00,00000000,STRUCK TO COUNTY
005719,301634410,3769.63,0,016.00,00000000,STRUCK TO COUNTY
005720,301634430,2276.99,0,016.00,00000000,STRUCK TO COUNTY
005721,301634440,2276.99,0,016.00,00000000,STRUCK TO COUNTY
005722,301634590,1315.76,0,016.00,00000000,STRUCK TO COUNTY
005723,301634610,1315.76,0,016.00,00000000,STRUCK TO COUNTY
005724,301634620,5542.95,0,016.00,00000000,STRUCK TO COUNTY
005725,301634670,48.34,0,016.00,00000000,STRUCK TO COUNTY
005726,301634680,48.34,0,016.00,00000000,STRUCK TO COUNTY
005727,301634690,48.34,0,016.00,00000000,STRUCK TO COUNTY
005728,301634710,2570.87,0,016.00,00000000,STRUCK TO COUNTY
005729,301634810,659.11,0,016.00,00000000,STRUCK TO COUNTY
005730,301634820,659.11,0,016.00,00000000,STRUCK TO COUNTY
005731,301634830,659.11,0,016.00,00000000,STRUCK TO COUNTY
005732,301634840,1030,0,016.00,00000000,STRUCK TO COUNTY
005733,301634850,1030,0,016.00,00000000,STRUCK TO COUNTY
005734,301634860,778.03,0,016.00,00000000,STRUCK TO COUNTY
005735,301634920,618.02,0,016.00,00000000,STRUCK TO COUNTY
005736,301634940,2286.94,0,016.00,00000000,STRUCK TO COUNTY
005737,301634960,56.26,0,016.00,00000000,STRUCK TO COUNTY
005738,301634980,56.26,0,016.00,00000000,STRUCK TO COUNTY
005739,301635160,45.01,0,016.00,05001876,SAMMAN SHRESTHA
005740,301640050,6351.76,0,016.00,00000000,STRUCK TO COUNTY
005741,301640260,48.34,0,016.00,00000000,STRUCK TO COUNTY
005742,301640270,48.34,0,016.00,00000000,STRUCK TO COUNTY
005743,301640280,48.34,0,016.00,00000000,STRUCK TO COUNTY
005744,301640300,373.96,0,016.00,00000000,STRUCK TO COUNTY
005745,301640360,5774.36,0,016.00,00000000,STRUCK TO COUNTY
005746,301640450,561.22,0,016.00,00000000,STRUCK TO COUNTY
005747,301640490,1086.46,0,016.00,00000000,STRUCK TO COUNTY
005748,301640530,2722.4,0,016.00,00000000,STRUCK TO COUNTY
005749,301640560,3515.79,0,016.00,00000000,STRUCK TO COUNTY
005750,301640580,208.69,0,016.00,00000000,STRUCK TO COUNTY
005751,301640590,3085.14,0,016.00,00000000,STRUCK TO COUNTY
005752,301640600,3085.14,0,016.00,00000000,STRUCK TO COUNTY
005753,301640650,3085.14,0,016.00,00000000,STRUCK TO COUNTY
005754,301640670,70.89,0,016.00,00000000,STRUCK TO COUNTY
005755,301640680,70.89,0,016.00,00000000,STRUCK TO COUNTY
005756,301640700,70.89,0,016.00,00000000,STRUCK TO COUNTY
005757,301640710,1086.46,0,016.00,00000000,STRUCK TO COUNTY
005758,301640720,1086.46,0,016.00,00000000,STRUCK TO COUNTY
005759,301640770,208.69,0,000.00,05001831,TRIBUTARY PROPERTIES
005760,301640800,56.26,0,016.00,00000000,STRUCK TO COUNTY
005761,301640820,208.69,0,016.00,00000000,STRUCK TO COUNTY
005762,301640870,561.22,0,016.00,00000000,STRUCK TO COUNTY
005763,301640890,48.34,0,016.00,00000000,STRUCK TO COUNTY
005764,301640920,5774.36,0,016.00,00000000,STRUCK TO COUNTY
005765,301640930,5774.36,0,016.00,00000000,STRUCK TO COUNTY
005766,301641000,373.96,0,016.00,00000000,STRUCK TO COUNTY
005767,301641010,2621.11,0,016.00,00000000,STRUCK TO COUNTY
005768,301641120,373.96,0,016.00,00000000,STRUCK TO COUNTY
005769,301641160,1775.86,0,016.00,00000000,STRUCK TO COUNTY
005770,301641170,1812.13,0,016.00,00000000,STRUCK TO COUNTY
005771,301641210,1039.53,0,016.00,00000000,STRUCK TO COUNTY
005772,301641220,1039.53,0,016.00,00000000,STRUCK TO COUNTY
005773,301641230,48.34,0,016.00,00000000,STRUCK TO COUNTY
005774,301641280,5774.36,0,016.00,00000000,STRUCK TO COUNTY
005775,301641400,48.34,0,016.00,00000000,STRUCK TO COUNTY
005776,301641410,48.34,0,016.00,00000000,STRUCK TO COUNTY
005777,301641420,2621.11,0,016.00,00000000,STRUCK TO COUNTY
005778,301641470,5774.36,0,016.00,00000000,STRUCK TO COUNTY
005779,301641510,1039.53,0,016.00,00000000,STRUCK TO COUNTY
005780,301641570,5774.36,0,016.00,00000000,STRUCK TO COUNTY
005781,301641580,3085.14,0,016.00,00000000,STRUCK TO COUNTY
005782,301641600,3648.83,0,016.00,00000000,STRUCK TO COUNTY
005783,301641610,5774.36,0,016.00,00000000,STRUCK TO COUNTY
005784,301641620,2167.67,0,016.00,00000000,STRUCK TO COUNTY
005785,301641680,5774.36,0,016.00,00000000,STRUCK TO COUNTY
005786,301641700,70.89,0,016.00,05001876,SAMMAN SHRESTHA
005787,301641720,70.89,0,016.00,00000000,STRUCK TO COUNTY
005788,301641730,5774.36,0,016.00,00000000,STRUCK TO COUNTY
005789,301641760,5774.36,0,016.00,00000000,STRUCK TO COUNTY
005790,301641830,5774.36,0,016.00,00000000,STRUCK TO COUNTY
005791,301641840,5819.72,0,016.00,00000000,STRUCK TO COUNTY
005792,301641850,3085.14,0,016.00,00000000,STRUCK TO COUNTY
005793,301641860,2247.81,0,016.00,00000000,STRUCK TO COUNTY
005794,301641890,48.34,0,016.00,00000000,STRUCK TO COUNTY
005795,301641900,48.34,0,016.00,00000000,STRUCK TO COUNTY
005796,301641920,2167.67,0,016.00,00000000,STRUCK TO COUNTY
005797,301641950,561.22,0,016.00,00000000,STRUCK TO COUNTY
005798,301642010,3648.83,0,016.00,00000000,STRUCK TO COUNTY
005799,301642030,70.89,0,016.00,00000000,STRUCK TO COUNTY
005800,301642100,2325.4,0,016.00,00000000,STRUCK TO COUNTY
005801,301642110,2325.4,0,016.00,00000000,STRUCK TO COUNTY
005802,301642150,719.64,0,016.00,00000000,STRUCK TO COUNTY
005803,301642190,5739.88,0,016.00,00000000,STRUCK TO COUNTY
005804,301642200,5739.88,0,016.00,00000000,STRUCK TO COUNTY
005805,301642210,5739.88,0,016.00,00000000,STRUCK TO COUNTY
005806,301642220,5739.88,0,016.00,00000000,STRUCK TO COUNTY
005807,301642230,3644.95,0,016.00,00000000,STRUCK TO COUNTY
005808,301642280,3644.95,0,016.00,00000000,STRUCK TO COUNTY
005809,301642300,323.56,0,000.00,00071770,MICHAEL LEE STEVENSON JR.
005810,301642380,70.89,0,016.00,00000000,STRUCK TO COUNTY
005811,301642440,1623.22,0,016.00,00000000,STRUCK TO COUNTY
005812,301642450,48.34,0,016.00,00000000,STRUCK TO COUNTY
005813,301642480,5770.48,0,016.00,00000000,STRUCK TO COUNTY
005814,301642520,5770.48,0,016.00,00000000,STRUCK TO COUNTY
005815,301642530,5973.71,0,016.00,00000000,STRUCK TO COUNTY
005816,301642550,3644.95,0,016.00,00000000,STRUCK TO COUNTY
005817,301642590,5770.48,0,016.00,00000000,STRUCK TO COUNTY
005818,301642600,372.89,0,016.00,00000000,STRUCK TO COUNTY
005819,301642610,372.89,0,016.00,00000000,STRUCK TO COUNTY
005820,301642620,372.89,0,016.00,00000000,STRUCK TO COUNTY
005821,301642630,372.89,0,016.00,00000000,STRUCK TO COUNTY
005822,301642640,5770.48,0,016.00,00000000,STRUCK TO COUNTY
005823,301642650,5770.48,0,016.00,00000000,STRUCK TO COUNTY
005824,301642680,2018.65,0,016.00,00000000,STRUCK TO COUNTY
005825,301642720,719.64,0,016.00,00000000,STRUCK TO COUNTY
005826,301642800,2722.4,0,016.00,00000000,STRUCK TO COUNTY
005827,301642810,3644.95,0,016.00,00000000,STRUCK TO COUNTY
005828,301642820,561.22,0,016.00,00000000,STRUCK TO COUNTY
005829,301642860,5973.71,0,016.00,00000000,STRUCK TO COUNTY
005830,301642870,2325.4,0,016.00,00000000,STRUCK TO COUNTY
005831,301642880,5770.48,0,016.00,00000000,STRUCK TO COUNTY
005832,301642890,5770.48,0,016.00,00000000,STRUCK TO COUNTY
005833,301642900,5770.48,0,016.00,00000000,STRUCK TO COUNTY
005834,301642910,3644.95,0,016.00,00000000,STRUCK TO COUNTY
005835,301642920,70.89,0,016.00,00000000,STRUCK TO COUNTY
005836,301642970,1623.22,0,016.00,00000000,STRUCK TO COUNTY
005837,301642980,1623.22,0,016.00,00000000,STRUCK TO COUNTY
005838,301643020,5770.48,0,016.00,00000000,STRUCK TO COUNTY
005839,301643030,5770.48,0,016.00,00000000,STRUCK TO COUNTY
005840,301643040,3081.26,0,016.00,00000000,STRUCK TO COUNTY
005841,301643050,3644.95,0,016.00,00000000,STRUCK TO COUNTY
005842,301643130,5770.48,0,016.00,00000000,STRUCK TO COUNTY
005843,301643140,5770.48,0,016.00,00000000,STRUCK TO COUNTY
005844,301643150,3081.26,0,016.00,00000000,STRUCK TO COUNTY
005845,301643160,3644.95,0,016.00,00000000,STRUCK TO COUNTY
005846,301643200,1291.5,0,016.00,00000000,STRUCK TO COUNTY
005847,301643210,70.89,0,016.00,00000000,STRUCK TO COUNTY
005848,301643220,70.89,0,016.00,00000000,STRUCK TO COUNTY
005849,301643350,2167.67,0,016.00,00000000,STRUCK TO COUNTY
005850,301643360,2167.67,0,016.00,00000000,STRUCK TO COUNTY
005851,301643370,2167.67,0,016.00,00000000,STRUCK TO COUNTY
005852,301643380,70.89,0,016.00,00000000,STRUCK TO COUNTY
005853,301643420,5770.48,0,016.00,00000000,STRUCK TO COUNTY
005854,301643430,5770.48,0,016.00,00000000,STRUCK TO COUNTY
005855,301643530,2325.4,0,016.00,00000000,STRUCK TO COUNTY
005856,301643540,2325.4,0,016.00,00000000,STRUCK TO COUNTY
005857,301643550,70.89,0,000.00,00071770,MICHAEL LEE STEVENSON JR.
005858,301643580,70.89,0,016.00,00000000,STRUCK TO COUNTY
005859,301643620,2132.37,0,016.00,00000000,STRUCK TO COUNTY
005860,301643640,2463.38,0,016.00,00000000,STRUCK TO COUNTY
005861,301643690,2951.56,0,016.00,00000000,STRUCK TO COUNTY
005862,301643700,2722.4,0,016.00,00000000,STRUCK TO COUNTY
005863,301643840,70.89,0,016.00,00000000,STRUCK TO COUNTY
005864,301643930,6397.26,0,016.00,00000000,STRUCK TO COUNTY
005865,301643950,48.34,0,016.00,00000000,STRUCK TO COUNTY
005866,301643960,48.34,0,016.00,00000000,STRUCK TO COUNTY
005867,301643970,1943.87,0,016.00,00000000,STRUCK TO COUNTY
005868,301643980,5876.84,0,016.00,00000000,STRUCK TO COUNTY
005869,301643990,5876.84,0,016.00,00000000,STRUCK TO COUNTY
005870,301644040,70.89,0,016.00,00000000,STRUCK TO COUNTY
005871,301644140,3644.95,0,016.00,00000000,STRUCK TO COUNTY
